Aachen	Aachenu
Aaronson	Aaronsona
Aba	Aby
abeceda	abecedu
abecední	abecedním
Abimelech	Abimelecha
abonent	abonenta
Abrahám	Abrahámu
absence	absencí
absentovat	absentovala
absolutismus	absolutismu
absolutistický	absolutistickou
absolutní	absolutního
absolutní	absolutním
absolutní	absolutními
absolutno	absolutně
absolvent	absolventi
absolvent	absolventům
absurdita	absurdity
absurdní	nejabsurdnějších
aby	abych
aby	abychom
aby	abys
aby	abyste
Accola	Accolu
achátový	achátové
Achilles	Achilla
Achilleus	Achillea
Achillův	Achillovou
Achillův	Achillovu
ačkoliv	ačkoli
Adam	Adama
Adamov	Adamova
Adamov	Adamovy
Adamová	Adamových
Adamův	Adamova
Adamův	Adamovo
Adamův	Adamovy
Adamův	Adamových
adaptovat	adaptovala
adaptovat	adaptovali
adekvát	adekvátů
adekvát	adekváty
adekvátní	adekvátnímu
adekvátní	neadekvátními
administrativní	administrativními
admirál	admirála
admirál	admirálem
admirál	admirálovi
admirálův	admirálovi
adolescent	adolescenty
adresa	adrese
adresa	adresu
adresa	adresy
adresář	adresáře
adresát	adresátem
adresovat	adresoval
adresovat	adresován
Adrian	Adriana
Adrian	Adrianem
Adrián	Adrian
Adrián	Adriana
Adrián	Adrianem
Adriana	Adrian
Adriana	Adriano
Adrianův	Adrianova
Adrianův	Adrianovo
Adrianův	Adrianovy
Aeneův	Aeneova
Aeneův	Aeneovo
Aeneův	Aeneovým
aerolinie	aerolinií
aerolinka	aerolinky
aféra	aféry
Afghánec	Afghánci
Afghánistán	Afghánistánu
africký	africké
afrika	africe
Afrika	Afriku
Afrika	Afriky
Afrikánec	Afrikánců
Afrodita	Afrodity
Agamemnon	Agamemnona
Agamemnon	Agamemnóna
Agáta	Agátě
Agáta	Agátou
Agáta	Agátu
Agáta	Agáty
agenda	agendou
agenda	agendu
agenda	agendy
agent	agenta
agent	agenti
agent	agentů
agent	agentům
agentura	agentur
agentura	agentuře
agentura	agenturou
agentura	agenturu
agentura	agentury
agenturní	agenturnímu
agonie	agonii
agrární	agrárnímu
agregát	agregátu
agregát	agregátů
agrese	agresí
agresivní	agresivních
Ahtisaari	Ahtisaarim
Aigisthos	Aigistha
akademický	akademická
akademie	akademii
akát	akátu
akce	akci
akce	akcí
akce	akcím
akcelerace	akceleraci
akcent	akcenty
akcentovat	akcentován
akceptovat	akceptoval
akceptovat	akceptovaly
akceptovat	neakceptoval
akceptovatelný	neakceptovatelný
akcie	akciemi
akcie	akcií
akcionář	akcionáře
akcionář	akcionáři
akcionář	akcionářů
akciový	akciová
akciový	akciové
akciový	akciového
akciový	akciovou
akční	akčních
akord	akordů
akord	akordy
akordický	akordických
akreditovaný	akreditovanými
akt	aktem
akt	aktu
akt	aktů
akt	akty
akta	akt
akta	akty
aktér	aktéry
aktivita	aktivit
aktivita	aktivitách
aktivita	aktivitě
aktivita	aktivity
aktivizace	aktivizaci
aktivní	aktivních
aktivní	aktivního
aktivní	aktivním
aktovka	aktovce
aktovka	aktovek
aktovka	aktovkách
aktovka	aktovkou
aktovka	aktovku
aktový	aktová
aktový	aktovou
aktualizovat	aktualizovala
aktuální	aktuálních
aktuální	aktuálním
aktuálnost	aktuálnosti
akustický	akustické
akustický	akustickém
akutní	akutních
akvarel	akvarelech
alarmující	alarmujícím
alba	alb
alba	albu
Albánec	Albánci
albánský	albánskými
Albert	Alberta
Albert	Albertem
Albert	Albertovi
Alberta	Albert
Albertův	Albertovi
album	alb
album	alba
album	albu
Alcesta	Alcestě
Alcesta	Alcestu
Alcesta	Alcesty
Alcindor	Alcindorem
alegorický	alegorická
alegorický	alegorické
alegorický	alegorických
alegorizující	alegorizujících
Alexandr	Alexander
Alexandr	Alexandra
Alexandr	Alexandrem
Alexandra	Alexander
Alexejev	Alexejeva
Alfa	Alfou
Alfons	Alfonsem
Alfonso	Alfonsa
Alfonsův	Alfonsovým
Ali	Aliho
aliance	aliancí
alibistický	alibistické
Alice	Alici
alkohol	alkoholem
alkohol	alkoholu
alkoholický	alkoholické
alkoholismus	alkoholismem
Allen	Allena
almužna	almužnu
almužna	almužny
alokace	alokacím
alpa	alp
alpský	alpské
alpský	alpského
Alpy	Alp
Alpy	Alpách
alternativa	alternativou
alternativa	alternativu
alternativa	alternativy
alternativní	alternativních
Alva	Alvou
Alva	Alvu
Alva	Alvy
Alžběta	Alžbětě
Alžběta	Alžběto
Alžběta	Alžbětou
Alžběta	Alžběty
Alžbětin	Alžbětina
Alžbětin	Alžbětiny
Alžír	Alžíru
Alžírsko	Alžírsku
alžírský	alžírských
amatér	amatéři
amatérský	amatérské
ambasáda	ambasádě
ambasador	ambasadorem
ambice	ambicemi
ambice	ambicí
ambiciózní	ambiciózního
Američan	Američana
Američan	Američané
Američan	Američanů
Američan	Američany
americký	americká
americký	americké
americký	amerického
americký	americkém
americký	americkému
americký	americkou
americký	amerických
americký	americkým
americký	američtí
Amerika	Americe
Amerika	Ameriku
Amerika	Ameriky
Amersham	Amershamu
amfiteátr	amfiteátru
Amiens	Amiensu
Ammán	Ammánu
amnestovat	amnestováni
amortizace	amortizaci
Ámos	Ámose
Ampleforth	Amplefortha
Ampleforth	Ampleforthe
Ampleforth	Ampleforthem
amplión	ampliónech
ampulka	ampulku
amputovaný	amputovaných
amputovat	amputujeme
amulet	amulety
analfabet	analfabeta
analytický	analytické
analýza	analýzu
analýza	analýzy
analyzovat	analyzovali
analyzovat	analyzují
anarchie	anarchií
anděl	andělé
Ándhrapradéš	Ándhrapradéši
Andronikos	Andronika
Andronikos	Andronikovi
Andronikův	Andronikova
Andronikův	Andronikovi
Andropov	Andropovem
anekdota	anekdot
anesteziolog	anesteziologa
anesteziologický	anesteziologické
Anežka	Anežky
angažovat	angažoval
Angličan	Angličané
Angličan	Angličanů
Angličanka	Angličanek
anglický	anglická
anglický	anglické
anglický	anglického
anglický	anglických
anglický	anglickými
angličtina	angličtině
angličtina	angličtiny
Anglie	Anglii
angora	angory
Angsoc	Angsocu
anketa	anketě
anketa	anketu
Anna	Aničce
Anna	Anička
Anna	Anně
Anna	Annou
Anna	Annu
Anna	Anny
Annin	Anninu
anonymita	anonymitě
anonymní	anonymních
anonymní	anonymním
ansámbl	ansámblech
ansámbl	ansámblem
ansámbl	ansámblu
ansámbl	ansámblů
ansámbl	ansámbly
ansámblový	ansámblová
ansámblový	ansámblové
ansámblový	ansámblových
ansámblový	ansámblovými
antagonistický	antagonistického
Antall	Antalla
antarktida	antarktidě
anticharta	anticharty
anticipovat	anticipuje
antický	antická
antický	antické
antický	antického
antický	antickou
antický	antických
antický	antickým
antický	antičtí
antidemokratický	antidemokratického
antidumpingový	antidumpingová
Antigona	Antigoně
antika	antice
antisemitismus	antisemitismu
antisemitizmus	antisemitismu
antologie	antologiích
anton	antona
Antonie	Antonii
Antoniin	Antoniinu
Antoniin	Antoniiny
Antonín	Antonína
