😀	aghaidh grinning
😁	aghaidh beaming leis na súile miongháire
😂	aghaidh le deora áthais
🤣	ag rolladh ar an urlár ag gáire
😃	aghaidh grinning leis na súile móra
😄	aghaidh grinning leis na súile miongháire
😅	aghaidh grinning le allais
😆	aghaidh spíonta grinning
😉	aghaidh winking
😊	aghaidh miongháire le súile miongháire
😋	aghaidh savoring bia
😎	aghaidh miongháire le spéaclaí gréine
😍	aghaidh miongháire le súile croí
😘	aghaidh ag séideadh póg
🥰	aghaidh miongháire le 3 chroí
😗	aghaidh phógadh
😙	aghaidh phógadh leis na súile miongháire
😚	aghaidh phógadh le súile dúnta
☺️	aghaidh miongháire
☺	aghaidh miongháire
🙂	aghaidh beagán miongháire
🤗	aghaidh barróg
🤩	réalta-buaite
🤔	aghaidh smaointeoireachta
🤨	aghaidh le eyebrow ardaithe
😐	aghaidh neodrach
😑	aghaidh gan chaint
😶	aghaidh gan bhéal
🙄	aghaidh leis na súile rollta
😏	aghaidh smirking
😣	aghaidh persevering
😥	aghaidh brónach ach faoisimh
😮	aghaidh le béal oscailte
🤐	aghaidh zipper-béal
😯	aghaidh suaimhneach
😪	aghaidh codlatach
😫	aghaidh tuirseach
😴	aghaidh codlata
😌	aghaidh faoiseamh
😛	aghaidh le teanga
😜	aghaidh winking le teanga
😝	aghaidh squinting le teanga
🤤	aghaidh drooling
😒	aghaidh gan amú
😓	aghaidh downcast le allais
😔	aghaidh pensive
😕	aghaidh mearbhall
🙃	aghaidh bun os cionn
🤑	aghaidh béil airgid
😲	aghaidh astonished
☹️	aghaidh frowning
☹	aghaidh frowning
🙁	aghaidh beagán frowning
😖	aghaidh confounded
😞	aghaidh díomá
😟	aghaidh buartha
😤	aghaidh le gal ón srón
😢	aghaidh ag caoineadh
😭	aghaidh ag caoineadh os ard
😦	aghaidh frowning le béal oscailte
😧	aghaidh anguished
😨	aghaidh eaglach
😩	aghaidh traochta
🤯	ag pléascadh ceann
😬	aghaidh grimacing
😰	aghaidh imníoch le allais
😱	aghaidh screadaíl ar eagla
🥵	aghaidh te
🥶	aghaidh fuar
😳	aghaidh flushed
🤪	aghaidh zany
😵	aghaidh dizzy
😡	aghaidh pouting
😠	aghaidh feargach
🤬	aghaidh le siombailí ar bhéal
😷	aghaidh le masc leighis
🤒	aghaidh le teirmiméadar
🤕	aghaidh le ceann-bandage
🤢	aghaidh nauseated
🤮	urlacan aghaidh
🤧	aghaidh sraothartach
😇	aghaidh miongháire le Halo
🤠	aghaidh hata cowboy
🥳	aghaidh cóisir
🥴	aghaidh uaigneach
🥺	aghaidh phléadáil
🤥	aghaidh suite
🤫	aghaidh shushing
🤭	aghaidh le lámh os cionn béil
🧐	aghaidh le monocle
🤓	aghaidh nerd
😈	aghaidh miongháire le adharca
👿	aghaidh feargach le adharca
🤡	aghaidh clown
👹	ogre
👺	goblin
💀	cloigeann
☠️	cloigeann agus cnámha croise
☠	cloigeann agus cnámha croise
👻	Púca
👽	eachtrannach
👾	ollphéist eachtrannach
🤖	aghaidh robot
💩	carn poo
😺	aghaidh cat ag gáire
😸	aghaidh cat ag gáire leis na súile miongháire
😹	aghaidh cat le deora áthais
😻	aghaidh cat miongháire le súile croí
😼	aghaidh cat le aoibh gháire wry
😽	aghaidh cat phógadh
🙀	aghaidh cat traochta
😿	aghaidh cat ag caoineadh
😾	aghaidh cat ag pouting
🙈	moncaí féach-aon-olc
🙉	cloisteáil-aon-olc moncaí
🙊	labhairt-aon-olc moncaí
🏻	ton craiceann éadrom
🏼	ton craiceann meánach
🏽	ton craiceann meánach
🏾	ton craiceann meán-dorcha
🏿	ton craiceann dorcha
👶	leanbh
👶🏻	leanbh: ton craicinn éadrom
👶🏼	leanbh: ton craiceann meánach
👶🏽	leanbh: ton craiceann meánach
👶🏾	leanbh: ton craiceann meán-dorcha
👶🏿	leanbh: ton dorcha craicinn
🧒	leanbh
🧒🏻	páiste: ton craicinn éadrom
🧒🏼	páiste: ton craiceann meánach
🧒🏽	páiste: ton meánach craicinn
🧒🏾	páiste: ton craiceann meán-dorcha
🧒🏿	páiste: ton dorcha craicinn
👦	buachaill
👦🏻	buachaill: ton craicinn éadrom
👦🏼	buachaill: ton craiceann meánach
👦🏽	buachaill: ton craiceann meánach
👦🏾	buachaill: ton craiceann meán-dorcha
👦🏿	buachaill: ton dorcha craicinn
👧	cailín
👧🏻	cailín: ton craicinn éadrom
👧🏼	cailín: ton craiceann meánach
👧🏽	cailín: ton craiceann meánach
👧🏾	cailín: ton craiceann meán-dorcha
👧🏿	cailín: ton dorcha craicinn
🧑	fásta
🧑🏻	do dhaoine fásta: ton craicinn éadrom
🧑🏼	do dhaoine fásta: ton craiceann meánach
🧑🏽	do dhaoine fásta: ton craiceann meánach
🧑🏾	do dhaoine fásta: ton craiceann meán-dorcha
🧑🏿	duine fásta: ton dorcha craicinn
👨	fear
👨🏻	fear: ton craicinn éadrom
👨🏼	fear: ton craiceann meánach
👨🏽	fear: ton meánach craicinn
👨🏾	fear: ton craiceann meán-dorcha
👨🏿	fear: ton dorcha craicinn
👩	bean
👩🏻	bean: ton craicinn éadrom
👩🏼	bean: ton craiceann meánach
👩🏽	bean: ton craiceann meánach
👩🏾	bean: ton craiceann meán-dorcha
👩🏿	bean: ton dorcha craicinn
🧓	aosach
🧓🏻	duine fásta níos sine: ton craicinn éadrom
🧓🏼	aosach: ton craiceann meánach
🧓🏽	aosach: ton meánach craicinn
🧓🏾	duine fásta níos sine: ton craiceann meán-dorcha
🧓🏿	duine fásta níos sine: ton dorcha craicinn
👴	seanfhear
👴🏻	seanfhear: ton craicinn éadrom
👴🏼	sean-fhear: ton craiceann meánach
👴🏽	seanfhear: ton craiceann meánach
👴🏾	seanfhear: ton craiceann meán-dorcha
👴🏿	seanfhear: ton dorcha craicinn
👵	seanbhean
👵🏻	cailleach: ton craicinn éadrom
👵🏼	cailleach: ton craiceann meánach
👵🏽	cailleach: ton craiceann meánach
👵🏾	cailleach: ton craiceann meán-dorcha
👵🏿	cailleach: ton dorcha craicinn
👨‍⚕️	oibrí sláinte fear
👨‍⚕	oibrí sláinte fear
👨🏻‍⚕️	oibrí sláinte fear: ton craicinn éadrom
👨🏻‍⚕	oibrí sláinte fear: ton craicinn éadrom
👨🏼‍⚕️	oibrí sláinte fear: ton craiceann meánach
👨🏼‍⚕	oibrí sláinte fear: ton craiceann meánach
