😀	išsišiepęs veidas
😁	spindintį veidą besišypsančiomis akimis
😂	veidas su džiaugsmo ašaromis
🤣	besijuokdamas voliojosi ant grindų
😃	išsišiepęs veidas didelėmis akimis
😄	išsišiepęs veidas besišypsančiomis akimis
😅	išsišiepęs veidas nuo prakaito
😆	išsišiepęs prisimerkęs veidas
😉	mirksintis veidas
😊	besišypsantis veidas besišypsančiomis akimis
😋	veidas mėgaujasi maistu
😎	besišypsantis veidas su akiniais nuo saulės
😍	besišypsantis veidas su širdies akimis
😘	veidas pučia bučinį
🥰	besišypsantis veidas su 3 širdelėmis
😗	bučiuojantis veidą
😙	bučiuojantis veidą besišypsančiomis akimis
😚	bučiuojantis veidą užmerktomis akimis
☺️	besišypsantis veidas
☺	besišypsantis veidas
🙂	šiek tiek besišypsantis veidas
🤗	apsikabinęs veidą
🤩	žvaigždėtas
🤔	mąstantis veidas
🤨	veidas pakeltu antakiu
😐	neutralus veidas
😑	beraiškos veido
😶	veidas be burnos
🙄	veidas vartančiomis akimis
😏	besišypsantis veidas
😣	atkaklus veidas
😥	liūdnas, bet palengvėjęs veidas
😮	veidas atvira burna
🤐	užtrauktuku-burnos veidas
😯	nutirpęs veidas
😪	mieguistas veidas
😫	pavargęs veidas
😴	miegantis veidas
😌	palengvėjęs veidas
😛	veidas su liežuviu
😜	mirkčiojantis veidas liežuviu
😝	prisimerkęs veidas liežuviu
🤤	sloguojantis veidas
😒	nelinksmas veidas
😓	nukritęs veidas su prakaitu
😔	mąslus veidas
😕	sutrikęs veidas
🙃	apverstas veidas
🤑	pinigų burnos veidas
😲	nustebęs veidas
☹️	surauktas veidas
☹	surauktas veidas
🙁	šiek tiek surauktas veidas
😖	sutrikęs veidas
😞	nusivylęs veidas
😟	susirūpinęs veidas
😤	veidas su garais iš nosies
😢	verkiantis veidas
😭	garsiai verkiantis veidas
😦	susiraukšlėjęs veidas atvira burna
😧	nuliūdęs veidas
😨	baisus veidas
😩	pavargęs veidas
🤯	sprogsta galva
😬	sugniuždytas veidas
😰	nerimastingas veidas su prakaitu
😱	veidas rėkia iš baimės
🥵	karštas veidas
🥶	šaltas veidas
😳	paraudęs veidas
🤪	kvailas veidas
😵	apsvaigęs veidas
😡	išsipūtęs veidas
😠	piktas veidas
🤬	veidas su simboliais ant burnos
😷	veido su medicinine kauke
🤒	veidas su termometru
🤕	veidas su galvos tvarsčiu
🤢	pykinęs veidas
🤮	veido vėmimas
🤧	čiaudintis veidas
😇	besišypsantis veidas su aureole
🤠	kaubojiškos skrybėlės veidas
🥳	vakarėlių veidas
🥴	niūrus veidas
🥺	maldaujantis veidas
🤥	gulintis veidas
🤫	duslus veidas
🤭	veidas su ranka už burnos
🧐	veidas su monokliu
🤓	vėpla veidas
😈	besišypsantis veidas su ragais
👿	piktas veidas su ragais
🤡	klouno veidas
👹	ogre
👺	goblinas
💀	kaukolė
☠️	kaukolė ir sukryžiuoti kaulai
☠	kaukolė ir sukryžiuoti kaulai
👻	vaiduoklis
👽	ateivis
👾	svetimas monstras
🤖	roboto veidas
💩	kako krūva
😺	išsišiepęs katės veidas
😸	besišypsantis katės veidas besišypsančiomis akimis
😹	katės veidas su džiaugsmo ašaromis
😻	besišypsantis katės veidas su širdies akimis
😼	katės veidas su niūria šypsena
😽	bučiuojantis katės veidą
🙀	pavargęs katės veidas
😿	verkiantis katės veidas
😾	išsipūtęs katės veidas
🙈	beždžionė-nematote
🙉	negirdi-nebloga beždžionė
🙊	nekalbėk pikto beždžionė
🏻	šviesus odos tonas
🏼	vidutinio šviesumo odos atspalvis
🏽	vidutinio odos tono
🏾	vidutinio tamsumo odos atspalvis
🏿	tamsus odos tonas
👶	kūdikis
👶🏻	kūdikis: šviesios odos
👶🏼	kūdikis: vidutinio šviesumo odos atspalvis
👶🏽	kūdikis: vidutinio atspalvio oda
👶🏾	kūdikis: vidutiniškai tamsus odos atspalvis
👶🏿	kūdikis: tamsus odos atspalvis
🧒	vaikas
🧒🏻	vaikas: šviesios odos
🧒🏼	vaikas: vidutinio šviesumo odos atspalvis
🧒🏽	vaikas: vidutinis odos atspalvis
🧒🏾	vaikas: vidutiniškai tamsus odos atspalvis
🧒🏿	vaikas: tamsus odos atspalvis
👦	berniukas
👦🏻	berniukas: šviesios odos
👦🏼	berniukas: vidutinio šviesumo odos atspalvis
👦🏽	berniukas: vidutinio odos atspalvio
👦🏾	berniukas: vidutiniškai tamsus odos atspalvis
👦🏿	berniukas: tamsus odos atspalvis
👧	mergina
👧🏻	mergina: šviesios odos
👧🏼	mergina: vidutinio šviesumo odos atspalvis
👧🏽	mergina: vidutinio odos atspalvio
👧🏾	mergina: vidutiniškai tamsus odos atspalvis
👧🏿	mergina: tamsus odos atspalvis
🧑	suaugęs
🧑🏻	suaugusiems: šviesus odos atspalvis
🧑🏼	suaugusiems: vidutinio šviesumo odos atspalvis
🧑🏽	suaugusiems: vidutinis odos atspalvis
🧑🏾	suaugusiems: vidutiniškai tamsus odos atspalvis
🧑🏿	suaugusiems: tamsus odos atspalvis
👨	vyras
👨🏻	vyras: šviesios odos
👨🏼	vyras: vidutinio šviesumo odos atspalvis
👨🏽	vyras: vidutinis odos atspalvis
👨🏾	vyras: vidutiniškai tamsus odos atspalvis
👨🏿	vyras: tamsus odos atspalvis
👩	moteris
👩🏻	moteris: šviesios odos
👩🏼	moteris: vidutinio šviesumo odos atspalvis
👩🏽	moteris: vidutinio atspalvio oda
👩🏾	moteris: vidutiniškai tamsus odos atspalvis
👩🏿	moteris: tamsus odos atspalvis
🧓	vyresnis suaugęs
🧓🏻	vyresnio amžiaus suaugusieji: šviesus odos atspalvis
🧓🏼	vyresnio amžiaus suaugusieji: vidutinio šviesumo odos atspalvis
🧓🏽	vyresnio amžiaus suaugusieji: vidutinio odos atspalvio
🧓🏾	vyresnio amžiaus suaugusieji: vidutiniškai tamsus odos atspalvis
🧓🏿	vyresnio amžiaus žmogus: tamsus odos atspalvis
👴	senas vyras
👴🏻	senas vyras: šviesios odos
👴🏼	senas vyras: vidutinio šviesumo odos atspalvis
👴🏽	senas vyras: vidutinio atspalvio oda
👴🏾	senas vyras: vidutiniškai tamsus odos atspalvis
👴🏿	senukas: tamsus odos atspalvis
👵	sena moteris
👵🏻	senolė: šviesios odos
👵🏼	sena moteris: vidutinio šviesumo odos atspalvis
👵🏽	sena moteris: vidutinio atspalvio oda
👵🏾	sena moteris: vidutiniškai tamsus odos atspalvis
👵🏿	sena moteris: tamsus odos atspalvis
👨‍⚕️	vyras sveikatos darbuotojas
👨‍⚕	vyras sveikatos darbuotojas
👨🏻‍⚕️	vyras sveikatos darbuotojas: šviesus odos atspalvis
👨🏻‍⚕	vyras sveikatos darbuotojas: šviesus odos atspalvis
👨🏼‍⚕️	vyras sveikatos darbuotojas: vidutinio šviesumo odos atspalvis
👨🏼‍⚕	vyras sveikatos darbuotojas: vidutinio šviesumo odos atspalvis
👨🏽‍⚕️	vyras sveikatos darbuotojas: vidutinis odos atspalvis
👨🏽‍⚕	vyras sveikatos darbuotojas: vidutinis odos atspalvis
👨🏾‍⚕️	vyras sveikatos darbuotojas: vidutiniškai tamsus odos atspalvis
👨🏾‍⚕	vyras sveikatos darbuotojas: vidutiniškai tamsus odos atspalvis
👨🏿‍⚕️	vyras sveikatos darbuotojas: tamsus odos atspalvis
👨🏿‍⚕	vyras sveikatos darbuotojas: tamsus odos atspalvis
