😀	hmel nuihzatthlak tak
😁	beaming face chu mitmeng nuihzatthlak tak nen
😂	hlimna mittui nen hmai
🤣	nui chungin leiah a rawn inher chhuak
😃	mitmeng lian tak nei hmel nuihzatthlak tak
😄	hmel nuihzatthlak tak leh mitmeng nuihzatthlak tak
😅	hmel nuihzatthlak tak chu thawmhnaw nen
😆	nuihzat hmel zet hian
😉	hmai mitmeng
😊	hmel nuihzatthlak tak leh mit nuihzatthlak tak
😋	hmai savoring chaw ei tur
😎	sunglass vuah hmel nuihzatthlak tak
😍	thinlung mitmeng nei hmel nuihzatthlak tak
😘	hmaiah chuan a fawp a
🥰	thinlung 3 nei hmel nuihzatthlak tak
😗	kissing hmai
😙	mitmeng nuihzatthlak tak nen hmai fawh
😚	mit khap chungin hmai fawh
☺️	nuihzat hmel zet hian
☺	nuihzat hmel zet hian
🙂	a hmel chu a nuihzat hmel hle
🤗	hmai kuah chungin
🤩	arsi-in a rawn hrual a
🤔	ngaihtuahna hmel
🤨	hmai chu mitmeng sang tak nen
😐	neutral hmel
😑	hmel lan dan nei lo
😶	hmai hmui nei lo
🙄	hmaiah chuan mitmeng rolling tak a awm
😏	hmel chu a nui suk a
😣	chhelna hmel
😥	lungngai mahse thlamuang hmel
😮	hmai chu hmui inhawng tak a ni
🤐	zipper-mouth hmai
😯	hushed face a ni
😪	muthilh hmel
😫	chau hmel
😴	muhil hmel
😌	hmel hahdam tak
😛	hmai chu lei nen
😜	lei hmanga hmai mitmeng
😝	hmai mitmeng chu lei nen
🤤	hmai hring chhuak
😒	unamused hmel
😓	hmel hnuai lam chu thawmhnaw nen
😔	pensive hmel
😕	hmel buai tak
🙃	hmai hnuai lam hawiin
🤑	pawisa-mouth face
😲	mak tih hmel zet hian
☹️	hmai chu a ti hrual a
☹	hmai chu a ti hrual a
🙁	hmel chu a ti hrual deuh
😖	hmel buai tak
😞	beidawng hmel
😟	lungngai hmel
😤	hmai chu hnar atanga steam nen
😢	tap hmel
😭	ring zeta tap hmel
😦	hmui inhawng chungin hmai a ti hrual
😧	lungngai hmel
😨	hlauhawm hmel
😩	chau hmel
🤯	lu puak chhuak
😬	hmel chu a nuihzatthlak hle
😰	lungkham hmel chu thawmhnaw nen
😱	hlauhna avanga hmel a au chhuak
🥵	hmai lum tak
🥶	hmai vawt tak
😳	hmai a sen vek
🤪	zany hmel
😵	hmai luak chhuak
😡	pouting hmai
😠	thinrim hmel
🤬	hmaiah chuan chhinchhiahna a awm
😷	hmaiah medical mask vuah a ni
🤒	hmaiah thermometer a awm
🤕	hmaiah lu-bandage a awm
🤢	hmai nauseated
🤮	hmaiah a luak chhuak
🤧	hmai thawk hah
😇	hmel nuihzatthlak tak chu halo nen
🤠	cowboy kawr hmai
🥳	partying hmel a ni
🥴	woozy hmel a ni
🥺	ngenna hmel
🤥	hmel muhil
🤫	shushing hmai
🤭	hmaiah kut chu hmui chungah dahin
🧐	hmaiah chuan monocle a awm
🤓	nerd hmel a ni
😈	hmel nuihzatthlak tak, ki nei
👿	thinrim hmel chu ki nei
🤡	clown hmel a ni
👹	ogre
👺	goblin tih a ni
💀	luruh (skul) a ni
☠️	luruh leh crossbones te a awm
☠	luruh leh crossbones te a awm
👻	thlahrang
👽	alien tih a ni
👾	alien monster a ni
🤖	robot hmai
💩	pile of poo a awm
😺	nuihzat hmel zet hian cat face
😸	mitmeng nuihzatthlak tak nen cat hmel nuihzatthlak tak
😹	cat hmai chu hlimna mittui nen
😻	thinlung mitmeng nei cat hmel nuihzatthlak tak
😼	cat hmai chu wry smile nen
😽	kissing cat hmai
