😀	ꯒ꯭ꯔꯤꯅꯤꯡ ꯐꯦꯁ꯫
😁	ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯤꯠꯌꯦꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯕꯤꯃꯤꯡ ꯐꯦꯁ꯫
😂	ꯍꯔꯥꯑꯣꯕꯒꯤ ꯃꯤꯠꯀꯨꯞ ꯑꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯥꯌꯊꯣꯡ꯫
🤣	ꯅꯣꯀꯄꯥ ꯐ꯭ꯂꯣꯔꯗꯥ ꯔꯣꯜꯂꯤꯡ ꯇꯧꯕꯥ꯫
😃	ꯑꯆꯧꯕꯥ ꯃꯤꯠꯌꯦꯡ ꯑꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯟꯗꯨꯅꯥ ꯂꯩꯕꯥ ꯃꯐꯝ꯫
😄	ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯤꯠꯌꯦꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯐꯝ꯫
😅	ꯁ꯭ꯕꯔ ꯍꯣꯅꯕꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯟꯗꯨꯅꯥ ꯂꯩꯕꯥ ꯃꯐꯝ꯫
😆	ꯃꯤꯠ ꯎꯏꯁꯤꯟꯗꯨꯅꯥ ꯂꯩꯕꯥ ꯃꯤꯠꯌꯦꯡ꯫
😉	ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯐꯝ꯫
😊	ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯤꯠꯌꯦꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯐꯝ꯫
😋	ꯐꯦꯁ ꯁꯦꯚꯔꯤꯡ ꯐꯨꯗ꯫
😎	ꯅꯨꯃꯤꯠꯀꯤ ꯃꯉꯥꯂꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯐꯝ꯫
😍	ꯊꯝꯃꯣꯌꯒꯤ ꯃꯤꯠꯌꯦꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯐꯝ꯫
😘	ꯐꯦꯁ ꯕ꯭ꯂꯣꯌꯤꯡ ꯀꯤꯁ ꯑꯃꯥ꯫
🥰	ꯊꯝꯃꯣꯌ ꯳ꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯐꯝ꯫
😗	ꯀꯤꯁꯤꯡ ꯐꯦꯁ꯫
😙	ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯤꯠꯌꯦꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯐꯝ ꯑꯗꯨꯗꯥ ꯆꯨꯝꯃꯤ꯫
😚	ꯃꯤꯠ ꯎꯗꯕꯥ ꯃꯥꯌꯊꯣꯡꯗꯥ ꯆꯨꯝꯃꯤ꯫
☺️	ꯃꯤꯠ ꯎꯏꯁꯤꯟꯗꯨꯅꯥ ꯂꯩꯕꯥ ꯃꯐꯝ꯫
☺	ꯃꯤꯠ ꯎꯏꯁꯤꯟꯗꯨꯅꯥ ꯂꯩꯕꯥ ꯃꯐꯝ꯫
🙂	ꯈꯔꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯐꯝ꯫
🤗	ꯍꯒꯖꯤꯡ ꯐꯦꯁ꯫
🤩	ꯁ꯭ꯇꯥꯔ-ꯁ꯭ꯠꯔꯛ ꯇꯧꯕꯥ꯫
🤔	ꯋꯥꯈꯜ ꯈꯅꯕꯒꯤ ꯃꯐꯝ꯫
🤨	ꯋꯥꯡꯈꯠꯄꯥ ꯃꯤꯠꯌꯦꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯥꯌꯊꯣꯡ꯫
😐	ꯅ꯭ꯌꯨꯠꯔꯤꯜ ꯐꯦꯁ꯫
😑	ꯑꯦꯛꯁꯞꯔꯦꯁꯟ ꯂꯩꯇꯕꯥ ꯃꯐꯝ꯫
😶	ꯃꯤꯠ ꯌꯥꯑꯣꯗꯅꯥ ꯃꯥꯌꯊꯣꯡ꯫
🙄	ꯔꯣꯂꯤꯡ ꯃꯤꯠꯁꯤꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯥꯌꯊꯣꯡ꯫
😏	ꯃꯤꯠ ꯎꯏꯁꯤꯟꯗꯨꯅꯥ ꯂꯩꯕꯥ ꯃꯐꯝ꯫
😣	ꯂꯦꯞꯄꯥ ꯂꯩꯇꯅꯥ ꯍꯣꯠꯅꯔꯤꯕꯥ ꯃꯐꯝ꯫
😥	ꯅꯨꯡꯉꯥꯏꯇꯕꯥ ꯑꯗꯨꯕꯨ ꯔꯤꯂꯤꯐ ꯇꯧꯔꯕꯥ ꯃꯐꯝ꯫
😮	ꯑꯍꯥꯡꯕꯥ ꯃꯤꯠꯌꯦꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯥꯌꯊꯣꯡ꯫
🤐	ꯖꯤꯞ-ꯃꯥꯎꯊ ꯐꯦꯁ꯫
😯	hushed face꯫
😪	ꯇꯨꯝꯕꯥ ꯌꯥꯗꯕꯥ ꯃꯐꯝ꯫
😫	ꯇꯞꯅꯥ ꯇꯞꯅꯥ ꯁꯣꯀꯄꯥ ꯃꯐꯝ꯫
😴	ꯇꯨꯝꯕꯥ ꯌꯥꯕꯥ ꯃꯐꯝ꯫
😌	ꯔꯤꯂꯤꯐ ꯇꯧꯔꯕꯥ ꯃꯐꯝ꯫
😛	ꯖꯤꯕꯀꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯥꯌꯊꯣꯡ꯫
😜	ꯖꯤꯕꯀꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯗꯕꯥ ꯃꯥꯌꯊꯣꯡ꯫
😝	ꯖꯤꯕꯀꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯐꯝ꯫
🤤	ꯗ꯭ꯔꯣꯂꯤꯡ ꯐꯦꯁ꯫
😒	ꯑꯅꯥꯃꯨꯁ ꯇꯧꯔꯕꯥ ꯃꯐꯝ꯫
😓	ꯁ꯭ꯕꯔ ꯍꯣꯅꯕꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯗꯥꯎꯅꯀꯥꯁ꯭ꯠ ꯐꯦꯁ꯫
😔	ꯄꯦꯟꯁꯤꯚ ꯐꯦꯁ꯫
😕	ꯋꯥꯈꯜ ꯋꯥꯕꯥ ꯃꯐꯝ꯫
🙃	ꯃꯊꯛꯇꯥ ꯊꯣꯀꯄꯥ ꯃꯐꯝ꯫
🤑	ꯃꯅꯤ-ꯃꯎꯊ ꯐꯦꯁ꯫
😲	ꯉꯀꯈꯤꯕꯥ ꯃꯐꯝ꯫
☹️	ꯃꯤꯠ ꯎꯏꯁꯤꯟꯗꯨꯅꯥ ꯂꯩꯕꯥ ꯃꯐꯝ꯫
☹	ꯃꯤꯠ ꯎꯏꯁꯤꯟꯗꯨꯅꯥ ꯂꯩꯕꯥ ꯃꯐꯝ꯫
🙁	ꯈꯔꯥ ꯀꯨꯄꯁꯤꯜꯂꯕꯥ ꯃꯐꯝ꯫
😖	ꯋꯥꯈꯜ ꯋꯥꯕꯥ ꯃꯐꯝ꯫
😞	ꯅꯨꯡꯉꯥꯏꯇꯕꯥ ꯃꯐꯝ ꯑꯃꯥ꯫
😟	ꯋꯥꯈꯜ ꯋꯥꯕꯥ ꯃꯐꯝ꯫
😤	ꯅꯥꯀꯣꯡꯗꯒꯤ ꯁ꯭ꯇꯤꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯥꯌꯊꯣꯡ꯫
😢	ꯀꯞꯄꯥ ꯃꯐꯝ꯫
😭	ꯌꯥꯝꯅꯥ ꯋꯥꯅꯥ ꯀꯞꯄꯥ ꯃꯐꯝ꯫
😦	ꯑꯍꯥꯡꯕꯥ ꯃꯤꯠꯌꯦꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯐꯝ꯫
😧	ꯑꯋꯥꯕꯥ ꯇꯥꯔꯕꯥ ꯃꯐꯝ꯫
😨	ꯑꯀꯤꯕꯥ ꯄꯣꯀꯄꯥ ꯃꯐꯝ꯫
😩	ꯋꯥꯈꯜ ꯋꯥꯕꯥ ꯃꯐꯝ꯫
🤯	ꯑꯦꯛꯁꯞꯂꯣꯗꯤꯡ ꯍꯦꯗ꯫
😬	ꯒ꯭ꯔꯤꯃꯦꯁꯤꯡ ꯐꯦꯁ꯫
