😀	विस्मयमानं मुखम्
😁	विराजमानं मुखं स्मितनेत्रैः
😂	आनन्दस्य अश्रुभिः सह मुखम्
🤣	हसन् तलम् आवर्त्य
😃	विशालनेत्रैः विस्मयमानं मुखम्
😄	स्मितनेत्रैः विस्मयमानं मुखम्
😅	स्वेदेन सह विस्मयमानं मुखम्
😆	विस्मयमानं क्षुब्धं मुखम्
😉	निमिषं मुखम्
😊	स्मितमुखं स्मितनेत्रैः सह
😋	मुखं भोजनस्य स्वादनं कुर्वन्
😎	सूर्यचक्षुषः सह स्मितं मुखम्
😍	हृदयनेत्रेण स्मितं मुखम्
😘	मुखं चुम्बनं फूत्कयति
🥰	३ हृदयैः सह स्मितं मुखम्
😗	मुखं चुम्बयन्
😙	स्मितनेत्रैः मुखं चुम्बयन्
😚	निमीलितनेत्रेण मुखं चुम्बयन्
☺️	स्मितं मुखम्
☺	स्मितं मुखम्
🙂	किञ्चित् स्मितं मुखम्
🤗	आलिंगयन् मुखम्
🤩	तारा-प्रहारः
🤔	चिन्तयन् मुखम्
🤨	उन्नतभ्रूयुक्तं मुखम्
😐	तटस्थ मुख
😑	व्यञ्जनहीनं मुखम्
😶	मुखं विना मुखम्
🙄	लुठितनेत्रैः मुखम्
😏	स्मितं मुखम्
😣	धैर्यं मुखम्
😥	दुःखितं किन्तु निश्चिन्तं मुखम्
😮	मुखं मुक्तमुखम्
🤐	जिपर-मुखमुखम्
😯	निःशब्दं मुखम्
😪	निद्रालु मुखम्
😫	श्रान्त मुखम्
😴	सुप्तं मुखम्
😌	निवृत्तं मुखम्
😛	जिह्वा सह मुखम्
😜	जिह्वाया मुखं निमिषं कृत्वा
😝	जिह्वाया मुखं चक्षुषी
🤤	लारं पातयन् मुखम्
😒	अविनोदितं मुखम्
😓	स्वेदेन सह अधः मुखम्
😔	चिन्तनशील मुखम्
😕	भ्रान्तं मुखम्
🙃	उल्टा मुखम्
🤑	धनमुखमुखम्
😲	विस्मितः मुखम्
☹️	भ्रूभङ्गं मुखम्
☹	भ्रूभङ्गं मुखम्
🙁	किञ्चित् भ्रूभङ्गं मुखम्
😖	भ्रान्ता मुखम्
😞	निराशं मुखम्
😟	चिन्तितं मुखम्
😤	नासिकातः वाष्पयुक्तं मुखम्
😢	रुदन्तं मुखम्
😭	उच्चैः रोदनं मुखम्
😦	मुक्तमुखेन भ्रूभङ्गं मुखम्
😧	व्यथितं मुखम्
😨	भयभीतं मुखम्
😩	श्रान्त मुखम्
🤯	विस्फोटयन् शिरः
😬	मुखं विस्मयकारी
😰	स्वेदेन सह उद्विग्नं मुखम्
😱	भयेन क्रन्दन्तं मुखम्
🥵	उष्णमुखम्
🥶	शीतं मुखम्
😳	मुखं रक्तं जातम्
🤪	zany face
😵	चक्करः मुखम्
😡	pouting face
😠	क्रुद्धं मुखम्
🤬	मुखस्य उपरि प्रतीकयुक्तं मुखम्
😷	चिकित्सामास्कयुक्तं मुखम्
🤒	थर्मामीटर् सह मुखम्
🤕	शिरःपट्टिकायुक्तं मुखम्
🤢	उदरे मुखम्
🤮	मुख वमनम्
🤧	श्वासप्रश्वासयोः मुखम्
😇	प्रभामण्डलेन सह स्मितं मुखम्
🤠	गोपालकटोपी मुखम्
🥳	पार्टीं कुर्वन् मुखम्
🥴	woozy face
🥺	याचना मुखम्
🤥	शयनं मुखम्
🤫	शुशिंग मुखम्
🤭	मुखस्य उपरि हस्तं कृत्वा मुखम्
🧐	मुखं एकलयुक्तम्
🤓	nerd face
😈	शृङ्गैः सह स्मितं मुखम्
👿	शृङ्गैः क्रुद्धं मुखम्
🤡	विदूषकमुखम्
👹	ogre
👺	पिशाचः
💀	कपालः
☠️	कपालं क्रॉस् अस्थि च
☠	कपालं क्रॉस् अस्थि च
👻	प्रेत
👽	परदेशीयः
👾	विदेशी राक्षस
🤖	रोबोट् मुखम्
💩	पू इत्यस्य राशौ
😺	विस्मयमानं बिडालमुखम्
😸	हसितनेत्रैः विस्मयमानं बिडालमुखम्
😹	आनन्दस्य अश्रुभिः सह बिडालमुखम्
😻	हृदयनेत्रैः सह स्मितं बिडालमुखम्
😼	बिडालमुखं कुटिलस्मितेन सह
😽	बिडालमुखं चुम्बयन्
🙀	श्रान्तं बिडालमुखम्
😿	रोदनं बिडालमुखम्
😾	pouting बिडालमुखम्
🙈	पश्य-न-दुष्टं वानरः
🙉	शृणु-न-दुष्टं वानरः
🙊	वद-न-अशुभं वानरः
🏻	लघु त्वचास्वरः
🏼	मध्यम-लघुत्वक्-वर्णः
🏽	मध्यमत्वक्वर्णः
🏾	मध्यम-कृष्णत्वक्-वर्णः
🏿	कृष्णत्वक्वर्णः
👶	शिशुः
👶🏻	शिशुः हल्के त्वचास्वरः
👶🏼	शिशुः मध्यम-हल्का त्वचास्वरः
👶🏽	शिशुः मध्यमत्वक्स्वरः
👶🏾	शिशुः मध्यम-कृष्णत्वक्-वर्णः
👶🏿	शिशुः कृष्णवर्णीयत्वक्स्वरः
🧒	बालः
🧒🏻	बालकः लघुत्वक्वर्णः
🧒🏼	बालः मध्यम-हल्का त्वचास्वरः
🧒🏽	बालकः मध्यमत्वक्वर्णः
🧒🏾	बालः मध्यम-कृष्णत्वक्-वर्णः
🧒🏿	बालः कृष्णत्वक्वर्णः
👦	बालकः
👦🏻	बालकः लघुत्वक्स्वरः
👦🏼	बालकः मध्यम-हल्का त्वचास्वरः
👦🏽	बालकः मध्यमत्वक्वर्णः
👦🏾	बालकः मध्यम-कृष्णत्वक्-वर्णः
👦🏿	बालकः - कृष्णत्वक्वर्णः
👧	बालिका
👧🏻	girl: हल्के त्वचास्वरः
👧🏼	girl: मध्यम-हल्का त्वचास्वरः
👧🏽	girl: मध्यमत्वक्स्वरः
👧🏾	girl: मध्यम-कृष्णत्वक्स्वरः
👧🏿	girl: कृष्णत्वक्स्वरः
🧑	प्रौढः
🧑🏻	प्रौढः हल्के त्वचास्वरः
🧑🏼	प्रौढः मध्यम-हल्का त्वचास्वरः
🧑🏽	प्रौढः मध्यमत्वक्स्वरः
🧑🏾	प्रौढः मध्यम-कृष्णत्वक्-वर्णः
🧑🏿	प्रौढः कृष्णत्वक्स्वरः
👨	नरः
👨🏻	पुरुषः लघुत्वक्वर्णः
👨🏼	पुरुषः मध्यम-लघुत्वक्-वर्णः
👨🏽	पुरुषः मध्यमत्वक्वर्णः
👨🏾	पुरुषः मध्यम-कृष्णत्वक्-वर्णः
👨🏿	पुरुषः कृष्णत्वक्वर्णः
👩	महिला
👩🏻	स्त्री: लघुत्वक्वर्णः
👩🏼	स्त्री: मध्यम-हल्के त्वचास्वरम्
👩🏽	स्त्री : मध्यमत्वक्वर्णः
👩🏾	स्त्री : मध्यम-कृष्णत्वक्-वर्णः
👩🏿	स्त्री: कृष्णत्वक्स्वरः
🧓	वृद्धः वयस्कः
🧓🏻	वृद्धः वयस्कः हल्कः त्वचास्वरः
🧓🏼	वृद्धः वयस्कः मध्यम-हल्का त्वचास्वरः
🧓🏽	वृद्धः वयस्कः मध्यमत्वक्स्वरः
🧓🏾	वृद्धः वयस्कः मध्यम-कृष्णत्वक्-वर्णः
🧓🏿	वृद्धः वयस्कः कृष्णवर्णीयत्वक्स्वरः
👴	वृद्धः पुरुषः
👴🏻	वृद्धः - लघुत्वक्स्वरः
👴🏼	वृद्धः मध्यम-लघुत्वक्-वर्णः
👴🏽	वृद्धः मध्यमत्वक्स्वरः
👴🏾	वृद्धः मध्यम-कृष्णत्वक्-वर्णः
👴🏿	वृद्धः - कृष्णत्वक्स्वरः
👵	वृद्धा स्त्री
👵🏻	वृद्धा : हल्के त्वचास्वरः
👵🏼	वृद्धा: मध्यम-लघु त्वचावर्णः
👵🏽	वृद्धा: मध्यमत्वक्स्वरः
👵🏾	वृद्धा : मध्यम-कृष्णत्वक्-वर्णः
👵🏿	वृद्धा : कृष्णत्वक्वर्णः
👨‍⚕️	पुरुष स्वास्थ्यकर्मी
👨‍⚕	पुरुष स्वास्थ्यकर्मी
👨🏻‍⚕️	man health worker: हल्के त्वचा रंग
👨🏻‍⚕	man health worker: हल्के त्वचा रंग
👨🏼‍⚕️	पुरुष स्वास्थ्यकर्मी : मध्यम-हल्का त्वचा रंग
👨🏼‍⚕	पुरुष स्वास्थ्यकर्मी : मध्यम-हल्का त्वचा रंग
👨🏽‍⚕️	पुरुष स्वास्थ्यकर्मी : मध्यम त्वचा रंग
👨🏽‍⚕	पुरुष स्वास्थ्यकर्मी : मध्यम त्वचा रंग
👨🏾‍⚕️	पुरुष स्वास्थ्यकर्मी : मध्यम-गहरे त्वचा रंग
👨🏾‍⚕	पुरुष स्वास्थ्यकर्मी : मध्यम-गहरे त्वचा रंग
👨🏿‍⚕️	पुरुष स्वास्थ्यकर्मी : गहरे त्वचा रंग
👨🏿‍⚕	पुरुष स्वास्थ्यकर्मी : गहरे त्वचा रंग
👩‍⚕️	महिला स्वास्थ्यकर्मी
👩‍⚕	महिला स्वास्थ्यकर्मी
👩🏻‍⚕️	महिला स्वास्थ्यकर्मी : हल्के त्वचा रंग
👩🏻‍⚕	महिला स्वास्थ्यकर्मी : हल्के त्वचा रंग
👩🏼‍⚕️	महिला स्वास्थ्यकर्मी : मध्यम-हल्का त्वचा रंग
👩🏼‍⚕	महिला स्वास्थ्यकर्मी : मध्यम-हल्का त्वचा रंग
👩🏽‍⚕️	महिला स्वास्थ्यकर्मी : मध्यम त्वचा रंग
👩🏽‍⚕	महिला स्वास्थ्यकर्मी : मध्यम त्वचा रंग
👩🏾‍⚕️	महिला स्वास्थ्यकर्मी : मध्यम-गहरे त्वचा रंग
👩🏾‍⚕	महिला स्वास्थ्यकर्मी : मध्यम-गहरे त्वचा रंग
👩🏿‍⚕️	महिला स्वास्थ्यकर्मी : कृष्ण त्वचा रंग
👩🏿‍⚕	महिला स्वास्थ्यकर्मी : कृष्ण त्वचा रंग
👨‍🎓	पुरुषः छात्रः
👨🏻‍🎓	पुरुषः छात्रः हल्के त्वचास्वरः
👨🏼‍🎓	पुरुषः छात्रः मध्यम-हल्का त्वचास्वरः
👨🏽‍🎓	पुरुषः छात्रः मध्यमत्वक्स्वरः
👨🏾‍🎓	पुरुषः छात्रः मध्यम-कृष्णत्वक्स्वरः
👨🏿‍🎓	पुरुषः छात्रः कृष्णवर्णीयत्वक्स्वरः
👩‍🎓	महिला छात्रा
👩🏻‍🎓	महिला छात्रा : हल्के त्वचास्वरः
👩🏼‍🎓	महिला छात्रा : मध्यम-हल्के त्वचास्वर
👩🏽‍🎓	महिला छात्रा : मध्यम त्वचास्वर
👩🏾‍🎓	महिला छात्रा : मध्यम-कृष्ण त्वचा रंग
👩🏿‍🎓	महिला छात्रा : कृष्णत्वक्स्वरः
👨‍🏫	मनुष्य गुरु
👨🏻‍🏫	पुरुषः शिक्षकः लघुत्वक्स्वरः
👨🏼‍🏫	पुरुष शिक्षकः मध्यम-हल्के त्वचास्वरः
👨🏽‍🏫	पुरुषः शिक्षकः मध्यमत्वक्स्वरः
👨🏾‍🏫	पुरुषः शिक्षकः मध्यम-कृष्णत्वक्-वर्णः
👨🏿‍🏫	पुरुष शिक्षकः कृष्णत्वक्स्वरः
👩‍🏫	स्त्री आचार्यः
👩🏻‍🏫	स्त्री शिक्षकः लघुत्वक्स्वरः
👩🏼‍🏫	महिला शिक्षकः मध्यम-लघु त्वचास्वरः
👩🏽‍🏫	स्त्री शिक्षकः मध्यमत्वक्स्वरः
👩🏾‍🏫	महिला शिक्षकः मध्यम-कृष्णत्वक्-वर्णः
👩🏿‍🏫	स्त्री शिक्षकः कृष्णत्वक्स्वरः
👨‍⚖️	मनुष्यः न्यायाधीशः
👨‍⚖	मनुष्यः न्यायाधीशः
👨🏻‍⚖️	मनुष्य न्यायाधीशः लघुत्वक्स्वरः
👨🏻‍⚖	मनुष्य न्यायाधीशः लघुत्वक्स्वरः
👨🏼‍⚖️	पुरुष न्यायाधीशः मध्यम-हल्के त्वचास्वरः
👨🏼‍⚖	पुरुष न्यायाधीशः मध्यम-हल्के त्वचास्वरः
👨🏽‍⚖️	पुरुष न्यायाधीशः मध्यमत्वक्स्वरः
👨🏽‍⚖	पुरुष न्यायाधीशः मध्यमत्वक्स्वरः
👨🏾‍⚖️	मनुष्य न्यायाधीशः मध्यम-कृष्णत्वक्स्वरः
👨🏾‍⚖	मनुष्य न्यायाधीशः मध्यम-कृष्णत्वक्स्वरः
👨🏿‍⚖️	man judge: कृष्णत्वक्स्वरः
👨🏿‍⚖	man judge: कृष्णत्वक्स्वरः
👩‍⚖️	स्त्री न्यायाधीशः
👩‍⚖	स्त्री न्यायाधीशः
👩🏻‍⚖️	स्त्री न्यायाधीशः लघुत्वक्स्वरः
👩🏻‍⚖	स्त्री न्यायाधीशः लघुत्वक्स्वरः
👩🏼‍⚖️	स्त्री न्यायाधीशः मध्यम-हल्का त्वचास्वरः
👩🏼‍⚖	स्त्री न्यायाधीशः मध्यम-हल्का त्वचास्वरः
👩🏽‍⚖️	स्त्री न्यायाधीशः मध्यमत्वक्स्वरः
👩🏽‍⚖	स्त्री न्यायाधीशः मध्यमत्वक्स्वरः
👩🏾‍⚖️	स्त्री न्यायाधीशः मध्यम-कृष्णत्वक्-वर्णः
👩🏾‍⚖	स्त्री न्यायाधीशः मध्यम-कृष्णत्वक्-वर्णः
👩🏿‍⚖️	स्त्री न्यायाधीशः कृष्णत्वक्स्वरः
👩🏿‍⚖	स्त्री न्यायाधीशः कृष्णत्वक्स्वरः
👨‍🌾	मनुष्यः कृषकः
👨🏻‍🌾	पुरुषः कृषकः: हल्के त्वचास्वरः
👨🏼‍🌾	पुरुषः कृषकः मध्यम-हल्का त्वचास्वरः
👨🏽‍🌾	पुरुषः कृषकः मध्यमत्वक्स्वरः
