😀	שמייכלענדיק פנים
😁	שטראַלנדיק פּנים מיט סמיילינג אויגן
😂	פּנים מיט טרערן פון פרייד
🤣	ראָולינג אויף די שטאָק לאַפינג
😃	שמייכלענדיק פנים מיט גרויסע אויגן
😄	שמייכלענדיק פנים מיט שמײכלענדיקע אויגן
😅	שמייכלענדיק פנים מיט שווייס
😆	שמייכלענדיק סקווינטינג פּנים
😉	װינקנדיק פנים
😊	סמיילינג פּנים מיט סמיילינג אויגן
😋	פּנים סאַוואָרינג עסנוואַרג
😎	סמיילינג פּנים מיט זונברילן
😍	סמיילינג פּנים מיט האַרץ-אויגן
😘	פּנים בלאָזן אַ קוש
🥰	סמיילינג פּנים מיט 3 הערצער
😗	קיסינג פּנים
😙	קיסינג פּנים מיט סמיילינג אויגן
😚	קיסינג פּנים מיט פארמאכט אויגן
☺️	סמיילינג פּנים
☺	סמיילינג פּנים
🙂	אַ ביסל סמיילינג פּנים
🤗	כאַגינג פּנים
🤩	שטערן-געשלאגן
🤔	טראכטן פנים
🤨	פּנים מיט אויפגעהויבן ברעם
😐	נייטראַל פּנים
😑	אויסדרוקן געזיכט
😶	פּנים אָן מויל
🙄	פּנים מיט ראָולינג אויגן
😏	שמײכלענדיק פנים
😣	פּערסאַווירינג פּנים
😥	טרויעריק אָבער ריליווד פּנים
😮	פּנים מיט אָפֿן מויל
🤐	זיפּפּער-מויל פּנים
😯	אויסגעשטומט פנים
😪	פאַרשלאָפן פּנים
😫	מיד פּנים
😴	שלאָפנדיק פּנים
😌	באַפרייט פּנים
😛	פּנים מיט צונג
😜	װינקנדיק פנים מיט צונג
😝	סקווינטינג פּנים מיט צונג
🤤	דראָאָלינג פּנים
😒	אומגעמאכט פנים
😓	אַראָפּגעלאָזט פּנים מיט שווייס
😔	פאַרטראַכט פּנים
😕	צעמישט פּנים
🙃	קאַפּויער פּנים
🤑	געלט-מויל פּנים
😲	פאַרוואונדערט פּנים
☹️	קרימענ זיך פּנים
☹	קרימענ זיך פּנים
🙁	אַ ביסל קרימענ זיך פּנים
😖	צעמישט פנים
😞	דיסאַפּויניד פּנים
😟	באַזאָרגט פּנים
😤	פּנים מיט פּאַרע פון נאָז
😢	געוויין פנים
😭	הויך וויינען פּנים
😦	פרײענדיק פנים מיט אפענעם מויל
