$:	-1.5	0.80623	[-1, -1, -1, -1, -3, -1, -3, -1, -2, -1]
%)	-0.4	1.0198	[-1, 0, -1, 0, 0, -2, -1, 2, -1, 0]
%-)	-1.5	1.43178	[-2, 0, -2, -2, -1, 2, -2, -3, -2, -3]
&-:	-0.4	1.42829	[-3, -1, 0, 0, -1, -1, -1, 2, -1, 2]
&:	-0.7	0.64031	[0, -1, -1, -1, 1, -1, -1, -1, -1, -1]
( '}{' )	1.6	0.66332	[1, 2, 2, 1, 1, 2, 2, 1, 3, 1]
(%	-0.9	0.9434	[0, 0, 1, -1, -1, -1, -2, -2, -1, -2]
('-:	2.2	1.16619	[4, 1, 4, 3, 1, 2, 3, 1, 2, 1]
(':	2.3	0.9	[1, 3, 3, 2, 2, 4, 2, 3, 1, 2]
((-:	2.1	0.53852	[2, 2, 2, 1, 2, 3, 2, 2, 3, 2]
(*	1.1	1.13578	[2, 1, 1, -1, 1, 2, 2, -1, 2, 2]
(-%	-0.7	1.26886	[-1, 2, 0, -1, -1, -2, 0, 0, -3, -1]
(-*	1.3	1.26886	[4, 1, 2, 0, 2, -1, 1, 2, 1, 1]
(-:	1.6	0.8	[2, 2, 1, 3, 1, 1, 1, 3, 1, 1]
(-:0	2.8	0.87178	[3, 2, 3, 4, 3, 2, 3, 1, 4, 3]
(-:<	-0.4	2.15407	[-3, 3, -1, -1, 2, -1, -2, 3, -3, -1]
(-:o	1.5	0.67082	[3, 1, 1, 2, 2, 2, 1, 1, 1, 1]
(-:O	1.5	0.67082	[3, 1, 1, 2, 2, 2, 1, 1, 1, 1]
(-:{	-0.1	1.57797	[-2, -3, 1, -2, 1, 1, 0, 0, 2, 1]
(-:|>*	1.9	0.83066	[3, 2, 2, 1, 0, 2, 3, 2, 2, 2]
(-;	1.3	1.18743	[3, 2, 3, 0, 1, -1, 1, 2, 1, 1]
(-;|	2.1	1.13578	[3, 2, 2, 4, 1, 1, 1, 4, 2, 1]
(8	2.6	1.0198	[4, 2, 1, 3, 3, 3, 3, 1, 2, 4]
(:	2.2	1.16619	[3, 1, 1, 2, 1, 2, 4, 3, 4, 1]
(:0	2.4	1.11355	[0, 2, 3, 4, 3, 2, 3, 3, 1, 3]
(:<	-0.2	2.03961	[-2, -3, 1, 1, 2, -1, 2, 1, -4, 1]
(:o	2.5	0.92195	[3, 3, 1, 3, 3, 1, 2, 2, 4, 3]
(:O	2.5	0.92195	[3, 3, 1, 3, 3, 1, 2, 2, 4, 3]
(;	1.1	1.22066	[3, 1, 1, -1, 1, 2, 2, -1, 1, 2]
(;<	0.3	1.00499	[1, 2, -1, -1, 0, 0, 1, -1, 1, 1]
(=	2.2	1.16619	[3, 1, 2, 2, 1, 1, 4, 3, 4, 1]
(?:	2.1	0.83066	[2, 2, 1, 3, 2, 2, 4, 1, 2, 2]
(^:	1.5	0.67082	[1, 2, 2, 1, 3, 2, 1, 1, 1, 1]
(^;	1.5	0.5	[1, 2, 2, 1, 2, 1, 2, 1, 1, 2]
(^;0	2.0	0.7746	[2, 2, 1, 2, 1, 4, 2, 2, 2, 2]
(^;o	1.9	0.83066	[2, 2, 1, 2, 1, 4, 2, 1, 2, 2]
(o:	1.6	0.8	[2, 1, 3, 1, 1, 1, 2, 3, 1, 1]
)':	-2.0	0.44721	[-2, -2, -2, -2, -1, -3, -2, -2, -2, -2]
)-':	-2.1	0.53852	[-2, -2, -3, -2, -1, -2, -3, -2, -2, -2]
)-:	-2.1	0.9434	[-3, -2, -4, -1, -3, -2, -2, -2, -1, -1]
)-:<	-2.2	0.4	[-2, -2, -2, -2, -2, -2, -3, -3, -2, -2]
)-:{	-2.1	0.9434	[-1, -3, -2, -1, -2, -2, -3, -4, -1, -2]
):	-1.8	0.87178	[-1, -3, -1, -2, -1, -3, -1, -3, -1, -2]
):<	-1.9	0.53852	[-1, -3, -2, -2, -2, -1, -2, -2, -2, -2]
):{	-2.3	0.78102	[-1, -2, -3, -3, -2, -2, -4, -2, -2, -2]
);<	-2.6	0.8	[-2, -2, -2, -3, -2, -3, -2, -2, -4, -4]
*)	0.6	1.42829	[1, -1, 1, -3, 1, 1, 2, 1, 1, 2]
*-)	0.3	1.61555	[1, -3, -2, 2, 1, 1, -1, 2, 1, 1]
*-:	2.1	1.51327	[2, 2, 4, 4, 2, 1, -1, 4, 1, 2]
*-;	2.4	1.62481	[2, 3, 4, 4, 2, 1, -1, 4, 1, 4]
*:	1.9	1.04403	[2, 1, 1, 3, 1, 2, 4, 3, 1, 1]
*<|:-)	1.6	1.28062	[0, 1, 3, 1, 1, 2, 3, 0, 4, 1]
*\0/*	2.3	1.00499	[2, 0, 3, 1, 3, 3, 2, 3, 3, 3]
*^:	1.6	1.42829	[2, 2, 1, 3, 2, 2, 3, 3, -1, -1]
,-:	1.2	0.4	[1, 1, 2, 1, 1, 1, 1, 1, 2, 1]
---'-;-{@	2.3	1.18743	[0, 1, 3, 4, 2, 3, 2, 2, 2, 4]
--<--<@	2.2	1.249	[0, 1, 2, 4, 2, 1, 3, 2, 3, 4]
.-:	-1.2	0.4	[-1, -1, -1, -1, -1, -1, -2, -1, -2, -1]
..###-:	-1.7	0.78102	[-2, -3, -3, -2, -1, -1, -1, -1, -1, -2]
..###:	-1.9	1.04403	[-4, -1, -3, -1, -2, -2, -1, -3, -1, -1]
/-:	-1.3	0.64031	[-1, -1, -1, -1, -1, -1, -1, -2, -3, -1]
/:	-1.3	0.45826	[-2, -1, -1, -1, -2, -1, -1, -2, -1, -1]
/:<	-1.4	0.4899	[-1, -2, -2, -1, -1, -1, -1, -1, -2, -2]
/=	-0.9	0.53852	[-1, -1, -1, 0, -1, -2, -1, -1, -1, 0]
